problem_id,title,description,topic,difficulty,type,answer,solution
1,빅데이터의 특징,"빅데이터의 주요 특징 중 하나로, 데이터의 양이 방대한 것을 의미하는 것은 무엇인가?\n① Variety\n② Volume\n③ Velocity\n④ Veracity",빅데이터,쉬움,객관식(4지선다),2,"빅데이터의 4V는 Volume(양), Velocity(속도), Variety(다양성), Veracity(정확성)입니다. 이 중 Volume은 데이터의 양이 방대함을 의미합니다. 따라서 정답은 ②입니다."
2,빅데이터 분석 기법,"빅데이터 분석에서 사용되는 군집화 알고리즘으로, 비슷한 데이터 포인트를 그룹으로 묶는 방법은 무엇인가?\n① 회귀 분석 (Regression Analysis)\n② 군집 분석 (Clustering)\n③ 분류 (Classification)\n④ 시계열 분석 (Time Series Analysis)",빅데이터,보통,객관식(4지선다),2,군집 분석은 비슷한 특성을 가진 데이터를 그룹으로 묶는 방법입니다. 대표적인 군집화 알고리즘으로는 K-means와 계층적 군집화가 있습니다. 따라서 정답은 ②입니다.
3,하둡의 구성 요소,하둡(Hadoop) 생태계에서 분산 저장을 담당하는 핵심 컴포넌트는 무엇인가?\n① HDFS\n② MapReduce\n③ YARN\n④ Hive,빅데이터,보통,객관식(4지선다),1,"HDFS(Hadoop Distributed File System)는 하둡의 분산 저장을 담당하는 파일 시스템입니다. MapReduce는 분산 처리 모델, YARN은 자원 관리, Hive는 데이터 웨어하우스 기능을 제공합니다. 따라서 정답은 ①입니다."
4,빅데이터 처리 엔진,아파치 스파크(Apache Spark)의 주요 특징이 아닌 것은 무엇인가?\n① 인메모리(In-memory) 처리\n② 실시간 스트리밍 처리\n③ 느린 데이터 처리 속도\n④ 배치 처리 지원,빅데이터,어려움,객관식(4지선다),3,"아파치 스파크는 인메모리 처리를 통해 빠른 데이터 처리가 가능하며, 실시간 스트리밍 처리와 배치 처리도 지원합니다. 따라서 ""느린 데이터 처리 속도""는 스파크의 특징이 아니며, 정답은 ③입니다."
5,빅데이터의 활용 분야,다음 중 빅데이터 분석의 활용 사례로 적절하지 않은 것은 무엇인가?\n① 고객 행동 분석\n② 의료 진단 및 예측\n③ 데이터의 물리적 저장\n④ 스마트 시티 구현,빅데이터,쉬움,객관식(4지선다),3,"빅데이터 분석은 다양한 분야에서 활용됩니다. 고객 행동 분석, 의료 진단 및 예측, 스마트 시티 구현은 모두 빅데이터의 활용 사례입니다. 그러나 데이터의 물리적 저장은 빅데이터 분석이 아니라 데이터 관리의 영역에 속합니다. 따라서 정답은 ③입니다."
6,빅데이터 처리 프레임워크,아파치 하둡(Apache Hadoop)의 주요 기능이 아닌 것은 무엇인가?\n① 대용량 데이터 저장\n② 데이터 시각화\n③ 분산 데이터 처리\n④ 장애 복구 기능,빅데이터,보통,객관식(4지선다),2,"아파치 하둡은 대용량 데이터를 저장하고 분산 처리하며, 장애 복구 기능을 제공합니다. 데이터 시각화는 하둡의 기능이 아니며, 정답은 ②입니다."
7,빅데이터 분석 과정,빅데이터 분석 과정 중 데이터 정제(Data Cleansing)의 주요 목적은 무엇인가?\n① 데이터 수집 속도 향상\n② 데이터의 정확성과 일관성 향상\n③ 데이터 저장 공간 절약\n④ 데이터 분석 알고리즘 개발,빅데이터,쉬움,객관식(4지선다),2,데이터 정제는 데이터의 정확성과 일관성을 향상시키기 위한 과정입니다. 이를 통해 분석 결과의 신뢰성을 높일 수 있습니다. 따라서 정답은 ②입니다.
8,빅데이터 기술,빅데이터에서 실시간 데이터 처리를 위해 주로 사용되는 기술은 무엇인가?\n① Apache Pig\n② Apache Hive\n③ Apache Flink\n④ Apache Sqoop,빅데이터,어려움,객관식(4지선다),3,"Apache Flink는 실시간 데이터 처리를 위한 분산 스트리밍 데이터 처리 엔진입니다. Apache Pig와 Hive는 배치 처리용이며, Sqoop은 데이터 전송에 사용됩니다. 따라서 정답은 ③입니다."
9,빅데이터 데이터베이스,다음 중 빅데이터에 적합한 NoSQL 데이터베이스는 무엇인가?\n① MySQL\n② PostgreSQL\n③ MongoDB\n④ OracleDB,빅데이터,보통,객관식(4지선다),3,"MongoDB는 NoSQL 데이터베이스로, 비정형 데이터를 효율적으로 처리할 수 있어 빅데이터에 적합합니다. MySQL, PostgreSQL, OracleDB는 관계형 데이터베이스입니다. 따라서 정답은 ③입니다."
10,빅데이터와 머신러닝,빅데이터 분석에서 머신러닝(Machine Learning)이 중요한 이유는 무엇인가?\n① 데이터 저장 비용 절감\n② 자동화된 데이터 패턴 인식\n③ 데이터 암호화 향상\n④ 데이터 수집 속도 증가,빅데이터,쉬움,객관식(4지선다),2,머신러닝은 자동으로 데이터를 분석하고 패턴을 인식하여 예측 모델을 만듭니다. 이는 빅데이터 분석에서 매우 중요한 기능입니다. 따라서 정답은 ②입니다.
11,빅데이터 처리 도구,"데이터 변환과 분석을 위해 사용하는 빅데이터 도구로, SQL과 유사한 언어를 제공하는 것은 무엇인가?\n① Apache Storm\n② Apache Kafka\n③ Apache Hive\n④ Apache Zookeeper",빅데이터,보통,객관식(4지선다),3,"Apache Hive는 SQL과 유사한 HiveQL을 제공하여 빅데이터를 쿼리하고 분석하는 데 사용됩니다. Storm과 Kafka는 스트리밍 처리, Zookeeper는 분산 시스템 조정에 사용됩니다. 따라서 정답은 ③입니다."
12,빅데이터의 가치,빅데이터 분석의 가장 큰 가치는 무엇인가?\n① 데이터 저장 용량 증가\n② 과거 데이터 분석\n③ 데이터 기반 의사 결정\n④ 소규모 데이터 세트 분석,빅데이터,쉬움,객관식(4지선다),3,빅데이터 분석의 가장 큰 가치는 데이터 기반 의사 결정을 통해 더 나은 비즈니스 전략을 수립하는 것입니다. 따라서 정답은 ③입니다.
13,데이터 시각화 도구,"빅데이터 분석 결과를 시각화하는 도구로, 대화형 차트를 생성하는데 널리 사용되는 것은 무엇인가?\n① Apache Cassandra\n② Tableau\n③ Apache HBase\n④ Apache Drill",빅데이터,보통,객관식(4지선다),2,"Tableau는 대화형 차트와 시각화를 지원하는 도구로, 빅데이터 분석 결과를 효과적으로 시각화하는 데 사용됩니다. 따라서 정답은 ②입니다."
14,빅데이터와 프라이버시,빅데이터 처리 시 개인정보 보호를 위해 주의해야 할 사항은 무엇인가?\n① 데이터 처리 속도\n② 데이터의 정확성\n③ 데이터 익명화\n④ 데이터 저장소 용량,빅데이터,어려움,객관식(4지선다),3,빅데이터 처리 시 개인정보 보호를 위해 데이터 익명화가 중요합니다. 이는 개인 식별 정보를 제거하여 프라이버시를 보호하는 방법입니다. 따라서 정답은 ③입니다.
15,빅데이터의 활용,다음 중 빅데이터 분석을 통해 얻을 수 있는 이점이 아닌 것은 무엇인가?\n① 고객 세분화\n② 시장 예측\n③ 제품 디자인 개선\n④ 데이터 손실 방지,빅데이터,보통,객관식(4지선다),4,"빅데이터 분석은 고객 세분화, 시장 예측, 제품 디자인 개선과 같은 이점을 제공합니다. 그러나 데이터 손실 방지는 빅데이터 분석의 이점이 아닙니다. 따라서 정답은 ④입니다."
16,빅데이터 생태계,"아파치 하둡 생태계에서 데이터 저장, 처리 및 분석을 지원하는 구성 요소는 무엇인가?\n① Apache Mahout\n② Apache Spark\n③ Apache Tez\n④ All of the above",빅데이터,어려움,객관식(4지선다),4,"Apache Mahout는 기계 학습, Apache Spark는 데이터 처리, Apache Tez는 실행 프레임워크를 제공합니다. 모두 하둡 생태계의 일부입니다. 따라서 정답은 ④입니다."
17,데이터 마이닝 기법,다음 중 데이터 마이닝 기법으로 사용되는 것은 무엇인가?\n① 데이터 압축\n② 회귀 분석\n③ 데이터 백업\n④ 데이터 복구,빅데이터,보통,객관식(4지선다),2,"회귀 분석은 데이터 마이닝 기법 중 하나로, 데이터 간의 관계를 모델링하여 예측 분석에 사용됩니다. 데이터 압축, 백업, 복구는 데이터 관리에 관련된 작업입니다. 따라서 정답은 ②입니다."
18,빅데이터에서의 스케일링,빅데이터 시스템에서 수평적 스케일링(Horizontal Scaling)이란 무엇을 의미하는가?\n① 서버의 메모리 증가\n② 서버의 CPU 성능 증가\n③ 더 많은 서버를 추가\n④ 저장 용량 증가,빅데이터,보통,객관식(4지선다),3,수평적 스케일링은 시스템의 성능을 향상시키기 위해 더 많은 서버를 추가하는 것을 의미합니다. 반면에 수직적 스케일링은 서버 자체의 성능을 향상시키는 것을 의미합니다. 따라서 정답은 ③입니다.
